"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"35","484.0827904224629","531.6525230814847","0.0263671875","0.02001953125","0.03271484375","2584","0.00017889909818714583","36","0.00017889909818714583","0","0.00017889909818714583","0.00017889909818714583","19:0.0016822215909340632;34:0.0014174280339120382","19:80;34:68","19:0.0014365124842245225;34:0.0012161360194301585","0.0263671875","Yes"
"36","271.18777415228567","116.12611441138398","0.010498046875","0.01904296875","0.001953125","2584","0.0017256926147179255","36","0.0017256926147179255","0","0.0017256926147179255","0.0017256926147179255","41:0.0035173163717467926;21:0.003287940682544177","41:68;21:68","41:0.00235961470768159;21:0.00240864909847599","0.010498046875","Yes"
"37","199.27618775518255","14.018372873980924","0.020263671875","0.02294921875","0.017578125","2584","0.0004305312680330815","36","0.0004305312680330815","0","0.0004305312680330815","0.0004305312680330815","45:0.004052317352922025;25:0.004067165677494572","45:68;25:68","45:0.004178338221221906;25:0.003814279694266537","0.020263671875","Yes"
"38","104.44319853222231","65.41637906921831","0.0185546875","0.0205078125","0.0166015625","2584","0.0003150668376854451","36","0.0003150668376854451","0","0.0003150668376854451","0.0003150668376854451","29:0.0032566241605495594;49:0.0032501461063180193","29:68;49:68","29:0.002589138225368076;49:0.0020707773527877116","0.0185546875","Yes"
"39","163.6931776767962","164.6976975237252","0.08935546875","0.06884765625","0.10986328125","2584","0.00041298897238247276","36","0.00041298897238247276","0","0.00041298897238247276","0.00041298897238247276","53:0.00186111096576283;33:0.0016904146732451553","53:68;33:68","53:0.0016666876278957632;33:0.12998080652269992","0.08935546875","Yes"
"40","122.22504106278456","85.8114010631615","0.05078125","0.03271484375","0.06884765625","2584","0.00047591985660294775","36","0.00047591985660294775","0","0.00047591985660294775","0.00047591985660294775","41:0.12736938212920157","41:68","41:0.09777406473452982","0.05078125","Yes"
"41","146.84861334802758","34.769281396402086","0.015625","0.02734375","0.00390625","2584","0.0002951853827704952","36","0.0002951853827704952","0","0.0002951853827704952","0.0002951853827704952","40:0.12736938212920157;42:0.00339127681130591;36:0.0035173163717467926","40:68;42:68;36:68","40:0.09777406473452982;42:0.004104585051760146;36:0.00235961470768159","0.015625","Yes"
"42","204.08763955648746","58.22229879939018","0.014404296875","0.02294921875","0.005859375","2584","0.0004014067798577818","36","0.0004014067798577818","0","0.0004014067798577818","0.0004014067798577818","41:0.00339127681130591;43:0.005040151850038921","41:68;43:68","41:0.004104585051760146;43:0.0037783580704660313","0.014404296875","Yes"
"43","219.3324364961262","96.25273029042651","0.00537109375","0.00732421875","0.00341796875","2584","0.00020762145042852945","36","0.00020762145042852945","0","0.00020762145042852945","0.00020762145042852945","42:0.005040151850038921;56:0.002307819034086528;44:0.0016117207167304082","42:68;56:68;44:68","42:0.0037783580704660313;56:0.002287345085868725;44:0.0023843021814088095","0.00537109375","Yes"
"44","277.89130545777164","200.9930858580451","0.02490234375","0.0185546875","0.03125","2584","0.00043795921952587667","36","0.00043795921952587667","0","0.00043795921952587667","0.00043795921952587667","45:0.0028373499772687827;43:0.0016117207167304082","45:68;43:68","45:0.0026267180612797036;43:0.0023843021814088095","0.02490234375","Yes"
"45","76.67460758429795","83.06519112595117","0.009033203125","0.01611328125","0.001953125","2584","0.0003686995994822063","36","0.0003686995994822063","0","0.0003686995994822063","0.0003686995994822063","44:0.0028373499772687827;46:0.003821830930803266;37:0.004052317352922025","44:68;46:68;37:68","44:0.0026267180612797036;46:0.003402466603427051;37:0.004178338221221906","0.009033203125","Yes"
