"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"33","425.56984499016363","362.20412479917957","0.0181884765625","0.012451171875","0.02392578125","2280","0.00013581287626944234","32","0.00013581287626944234","0","0.00013581287626944234","0.00013581287626944234","39:0.0019696685028267047;32:0.004889185082618819;34:0.0020090469479648876","39:68;32:68;34:108","39:0.0024435346764914434;32:0.004784190680661493;34:0.0015535827029415639","0.0181884765625","0.01220703125","Yes"
"34","315.0795007385337","335.474863159378","0.021484375","0.0205078125","0.0224609375","2280","0.00016808727887816533","32","0.00016808727887816533","0","0.00016808727887816533","0.00016808727887816533","33:0.0020090469479648876;35:0.001308487203327574","33:108;35:68","33:0.0015535827029415639;35:0.0015905635347763514","0.021484375","0.013427734375","Yes"
"35","335.17004748368953","390.21017014100283","0.0147705078125","0.0185546875","0.010986328125","2280","0.00015653171755999106","32","0.00015653171755999106","0","0.00015653171755999106","0.00015653171755999106","19:0.002027000589434308;34:0.001308487203327574","19:68;34:68","19:0.001638300343745347;34:0.0015905635347763514","0.0147705078125","0.0234375","Yes"
"36","171.4339139902075","115.95087446538362","0.0364990234375","0.025390625","0.047607421875","2280","0.0002995770439640953","32","0.0002995770439640953","0","0.0002995770439640953","0.0002995770439640953","41:0.0019025879337865592;21:0.00141449579565317","41:68;21:68","41:0.0020463855406353537;21:0.00374421065156319","0.0364990234375","0.0322265625","Yes"
"37","220.84008218688595","23.258467625389248","0.0296630859375","0.024658203125","0.03466796875","2280","0.00017935971133456273","32","0.00017935971133456273","0","0.00017935971133456273","0.00017935971133456273","45:0.0018337130346972874;25:0.0021800705223296857","45:68;25:68","45:0.00895395803879781;25:0.01847936367021913","0.0296630859375","0.01806640625","Yes"
"38","231.30163086817564","108.60343555304237","0.0101318359375","0.016357421875","0.00390625","2280","0.00017630995612927488","32","0.00017630995612927488","0","0.00017630995612927488","0.00017630995612927488","29:0.010832649959422402;49:0.0015195953365189085","29:68;49:68","29:0.004436487783247289;49:0.004815624363590981","0.0101318359375","0.005615234375","Yes"
"39","204.48610430473823","133.76420342546493","0.0157470703125","0.015869140625","0.015625","2280","0.00021024878388166778","32","0.00021024878388166778","0","0.00021024878388166778","0.00021024878388166778","53:0.0038812599656540825;33:0.0019696685028267047","53:68;33:68","53:0.003425791848404358;33:0.0024435346764914434","0.0157470703125","0.075927734375","Yes"
"40","313.518604232302","72.4627048280613","0.077392578125","0.05029296875","0.1044921875","2280","0.00019942098876212514","32","0.00019942098876212514","0","0.00019942098876212514","0.00019942098876212514","41:0.0022336971799175043","41:68","41:0.003631350659060506","0.077392578125","0.090087890625","Yes"
"41","188.56242116342685","59.120919100980664","0.0361328125","0.037109375","0.03515625","2280","0.00025585865264453187","32","0.00025585865264453187","0","0.00025585865264453187","0.00025585865264453187","40:0.0022336971799175043;42:0.0020628441940591935;36:0.0019025879337865592","40:68;42:68;36:68","40:0.003631350659060506;42:0.0019807597099651686;36:0.0020463855406353537","0.0361328125","0.021728515625","Yes"
"42","305.34040406534376","127.57034734715015","0.01416015625","0.009765625","0.0185546875","2280","0.00020483870580291808","32","0.00020483870580291808","0","0.00020483870580291808","0.00020483870580291808","41:0.0020628441940591935;43:0.006695738754283143","41:68;43:68","41:0.0019807597099651686;43:0.004836850843573937","0.01416015625","0.009033203125","Yes"
