"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"20","262.610194896143","393.2802174292196","0.002685546875","0.0048828125","0.00048828125","2200","0.00009962931807848443","32","0.00009962931807848443","0","0.00009962931807848443","0.00009962931807848443","21:0.0014695272443409346","21:68","21:0.0009728265152245674","0.002685546875","0.002197265625","Yes"
"21","339.4311819274792","380.3159802900633","0.013427734375","0.009765625","0.01708984375","2200","0.00011730763176050523","32","0.00011730763176050523","0","0.00011730763176050523","0.00011730763176050523","36:0.0010931590436590588;20:0.0014695272443409346;22:0.0011117431253403476","36:68;20:68;22:68","36:0.0013607443714291623;20:0.0009728265152245674;22:0.0017671188363179713","0.013427734375","0.013671875","Yes"
"22","200.44649444941808","235.17570952610566","0.00244140625","0.001953125","0.0029296875","2200","0.00015611238875412232","32","0.00015611238875412232","0","0.00015611238875412232","0.00015611238875412232","23:0.001215565139448288;21:0.0011117431253403476","23:68;21:68","23:0.0010655254768318634;21:0.0017671188363179713","0.00244140625","0.00048828125","Yes"
"23","316.6686185521153","339.7360357729418","0.001953125","0.00390625","0","2200","0.00015164645205237187","32","0.00015164645205237187","0","0.00015164645205237187","0.00015164645205237187","22:0.001215565139448288;24:0.0008518698404109126;16:0.0008323976971607583","22:68;24:68;16:68","22:0.0010655254768318634;24:0.0009049732425074619;16:0.001152492071648581","0.001953125","0.004150390625","Yes"
"24","243.92499375503968","309.71917016188894","0.00341796875","0.0068359375","0","2200","0.00016533091830811492","32","0.00016533091830811492","0","0.00016533091830811492","0.00016533091830811492","23:0.0008518698404109126;25:0.0011091169459862826","23:68;25:68","23:0.0009049732425074619;25:0.0008348891508282164","0.00341796875","0.002197265625","Yes"
"25","351.02495174886417","368.2250495315977","0.0048828125","0.00341796875","0.00634765625","2200","0.0001708700832829976","32","0.0001708700832829976","0","0.0001708700832829976","0.0001708700832829976","24:0.0011091169459862826;26:0.0008532411927645867;37:0.0008270900026368655","24:68;26:68;37:68","24:0.0008348891508282164;26:0.0011284250666292739;37:0.0008577472455628121","0.0048828125","0.006103515625","Yes"
"26","234.493524705799","242.67112912434098","0.00146484375","0.0029296875","0","2200","0.00018152492920789112","32","0.00018152492920789112","0","0.00018152492920789112","0.00018152492920789112","25:0.0008532411927645867;27:0.0023080766076932213","25:68;27:68","25:0.0011284250666292739;27:0.00134521041283589","0.00146484375","0.002685546875","Yes"
"27","346.31375217294743","363.525113272972","0.011962890625","0.02294921875","0.0009765625","2200","0.000471281164253235","32","0.000471281164253235","0","0.000471281164253235","0.000471281164253235","26:0.0023080766076932213;28:0.0012843837708800265;17:0.0013024247057320526","26:68;28:68;17:68","26:0.00134521041283589;28:0.0013263196377579223;17:0.0014076451696485304","0.011962890625","0.05322265625","Yes"
"28","256.93534644730835","372.3770693435163","0.003662109375","0.0048828125","0.00244140625","2200","0.0002462434141996969","32","0.0002462434141996969","0","0.0002462434141996969","0.0002462434141996969","27:0.0012843837708800265;29:0.0012696061241222467","27:68;29:68","27:0.0013263196377579223;29:0.000999277672351112","0.003662109375","0.00244140625","Yes"
"29","358.0689351127136","240.4478846214215","0.00390625","0.00390625","0.00390625","2200","0.0001882105903672834","32","0.0001882105903672834","0","0.0001882105903672834","0.0001882105903672834","38:0.0009985629347772362;28:0.0012696061241222467;30:0.0015715433500667064","38:68;28:68;30:68","38:0.0010847203701833952;28:0.000999277672351112;30:0.0020707818955971735","0.00390625","0.003173828125","Yes"
"30","195.37999988070584","204.58057317153944","0.006103515625","0.009765625","0.00244140625","2200","0.00027061807319504234","32","0.00027061807319504234","0","0.00027061807319504234","0.00027061807319504234","31:0.0015376014535354032;29:0.0015715433500667064","31:68;29:68","31:0.0021090533319731153;29:0.0020707818955971735","0.006103515625","0.00341796875","Yes"
"31","332.2169087014304","278.6493573700496","0.00732421875","0.01416015625","0.00048828125","2200","0.000122083756071197","32","0.000122083756071197","0","0.000122083756071197","0.000122083756071197","30:0.0015376014535354032;32:0.0010340545331866957;18:0.001145397933539627","30:68;32:68;18:68","30:0.0021090533319731153;32:0.0009066924808812937;18:0.003283795510396481","0.00732421875","0.001953125","Yes"
"32","294.2216330282194","307.8926560142015","0.00390625","0.00390625","0.00390625","2200","0.00007240139068724993","32","0.00007240139068724993","0","0.00007240139068724993","0.00007240139068724993","31:0.0010340545331866957;33:0.0011511653060088944","31:68;33:68","31:0.0009066924808812937;33:0.002796231572896657","0.00390625","0.00146484375","Yes"
"33","268.2913149757259","230.78184124768705","0.0029296875","0.005859375","0","2200","0.00011734934728047246","32","0.00011734934728047246","0","0.00011734934728047246","0.00011734934728047246","39:0.0013974975325810601;32:0.0011511653060088944;34:0.001236400433338558","39:68;32:68;34:68","39:0.0021068078744669316;32:0.002796231572896657;34:0.0008658163370866001","0.0029296875","0.002197265625","Yes"
"34","295.0161149571894","336.72064187777295","0.005126953125","0.00634765625","0.00390625","2200","0.0001279743209507115","32","0.0001279743209507115","0","0.0001279743209507115","0.0001279743209507115","33:0.001236400433338558;35:0.0013066293746854807","33:68;35:68","33:0.0008658163370866001;35:0.0009849368716013662","0.005126953125","0.00439453125","Yes"
"35","281.48655331242776","432.6223636971433","0.003173828125","0.00537109375","0.0009765625","2200","0.00013201783667123217","32","0.00013201783667123217","0","0.00013201783667123217","0.00013201783667123217","19:0.000791914395747273;34:0.0013066293746854807","19:68;34:68","19:0.0008560961468496442;34:0.0009849368716013662","0.003173828125","0.00146484375","Yes"
"36","199.21166339425423","236.61389259763283","0.003173828125","0.00390625","0.00244140625","2200","0.00015310713922700905","32","0.00015310713922700905","0","0.00015310713922700905","0.00015310713922700905","41:0.000975331447676614;21:0.0010931590436590588","41:68;21:68","41:0.0008575061114545479;21:0.0013607443714291623","0.003173828125","0.00146484375","Yes"
"37","229.63534121550435","257.78261002189765","0.005859375","0.00927734375","0.00244140625","2200","0.00019055374826778743","32","0.00019055374826778743","0","0.00019055374826778743","0.00019055374826778743","45:0.0009289035067263363;25:0.0008270900026368655","45:68;25:68","45:0.0010867192568355943;25:0.0008577472455628121","0.005859375","0.0029296875","Yes"
"38","259.57172186593556","316.371682000783","0.002197265625","0.00146484375","0.0029296875","2200","0.00014077861430052065","32","0.00014077861430052065","0","0.00014077861430052065","0.00014077861430052065","29:0.0009985629347772362;49:0.0013538821998525241","29:68;49:68","29:0.0010847203701833952;49:0.0014718930343433356","0.002197265625","0.0009765625","Yes"
"39","204.56356943492952","210.64718438267985","0.002685546875","0.00390625","0.00146484375","2200","0.0009967204159189557","32","0.0009967204159189557","0","0.0009967204159189557","0.0009967204159189557","53:0.0009224992552268052;33:0.0013974975325810601","53:68;33:68","53:0.0009313327279484307;33:0.0021068078744669316","0.002685546875","0.00390625","Yes"
"40","185.3932322810388","312.27011369968193","0.0029296875","0.00439453125","0.00146484375","2200","0.00018037518548027985","32","0.00018037518548027985","0","0.00018037518548027985","0.00018037518548027985","41:0.0009203398300214882","41:68","41:0.0010573578484846247","0.0029296875","0.003662109375","Yes"
"41","304.5826905055066","372.60738130552016","0.004638671875","0.00537109375","0.00390625","2200","0.00016175558473353934","32","0.00016175558473353934","0","0.00016175558473353934","0.00016175558473353934","40:0.0009203398300214882;42:0.0010855485844165902;36:0.000975331447676614","40:68;42:68;36:68","40:0.0010573578484846247;42:0.0008337994544720673;36:0.0008575061114545479","0.004638671875","0.004638671875","Yes"
"42","240.27923632988038","300.04266745229137","0.00390625","0.00390625","0.00390625","2200","0.0002095774399893996","32","0.0002095774399893996","0","0.0002095774399893996","0.0002095774399893996","41:0.0010855485844165902;43:0.0013685541410954627","41:68;43:68","41:0.0008337994544720673;43:0.0010844543225931036","0.00390625","0.010498046875","Yes"
