"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"45","326.36516554470313","31.867701897599368","0.0130615234375","0.013916015625","0.01220703125","2584","0.0015156396925985402","32","0.0015156396925985402","0","0.0015156396925985402","0.0015156396925985402","44:0.005102424367785463;46:0.007671032108602205;37:0.004876101365434982","44:88;46:88;37:88","44:0.005886576258597065;46:0.006751187824856397;37:0.0057666904696967725","0.0130615234375","0.01171875","Yes"
"46","259.46088165122154","278.21885294770044","0.0079345703125","0.01025390625","0.005615234375","2584","0.000178683500620666","32","0.000178683500620666","0","0.000178683500620666","0.000178683500620666","45:0.007671032108602205;47:0.0011918333241120738","45:88;47:88","45:0.006751187824856397;47:0.001347436022131998","0.0079345703125","0.00634765625","Yes"
"47","394.92670511034","337.5908098609835","0.0081787109375","0.007080078125","0.00927734375","2584","0.00018754646974444733","32","0.00018754646974444733","0","0.00018754646974444733","0.00018754646974444733","48:0.003409911670850363;57:0.002091814796964242;46:0.0011918333241120738","48:88;57:88;46:88","48:0.0023762344598445007;57:0.002444156757364646;46:0.001347436022131998","0.0081787109375","0.00341796875","Yes"
"48","323.1338200027291","369.3306465184932","0.008056640625","0.009765625","0.00634765625","2584","0.0002132980263831571","32","0.0002132980263831571","0","0.0002132980263831571","0.0002132980263831571","47:0.003409911670850363;49:0.0018670303767357177","47:88;49:88","47:0.0023762344598445007;49:0.0022586730372577968","0.008056640625","0.003173828125","Yes"
"49","367.045012019852","393.33751248470276","0.007568359375","0.0087890625","0.00634765625","2584","0.00033058182055000336","32","0.00033058182055000336","0","0.00033058182055000336","0.00033058182055000336","48:0.0018670303767357177;50:0.0020264939753585343;38:0.00233459060906524","48:88;50:88;38:88","48:0.0022586730372577968;50:0.0013728883402099878;38:0.0012939513413708081","0.007568359375","0.004150390625","Yes"
"50","304.8081762212569","346.1501329495202","0.0037841796875","0.0048828125","0.002685546875","2584","0.0001389640908283442","32","0.0001389640908283442","0","0.0001389640908283442","0.0001389640908283442","49:0.0020264939753585343;51:0.002710415094290791","49:88;51:88","49:0.0013728883402099878;51:0.0013662924435596246","0.0037841796875","0.00341796875","Yes"
"51","402.97160667377614","411.9738373337521","0.0130615234375","0.013671875","0.012451171875","2584","0.00014262641104956377","32","0.00014262641104956377","0","0.00014262641104956377","0.00014262641104956377","50:0.002710415094290791;52:0.01615957189320577;58:0.0017869698207419737","50:88;52:88;58:88","50:0.0013662924435596246;52:0.010520000671433466;58:0.0010791183989555808","0.0130615234375","0.01171875","Yes"
"52","112.01141525809267","190.09931027298362","0.01171875","0.022705078125","0.000732421875","2584","0.0005623141869020132","32","0.0005623141869020132","0","0.0005623141869020132","0.0005623141869020132","51:0.01615957189320577;53:0.00395158593934275","51:88;53:88","51:0.010520000671433466;53:0.007880597848436838","0.01171875","0.004150390625","Yes"
"53","151.63978700139435","179.83868873880715","0.012939453125","0.01806640625","0.0078125","2584","0.00024692932688292715","32","0.00024692932688292715","0","0.00024692932688292715","0.00024692932688292715","39:0.0014073960695450694;52:0.00395158593934275;54:0.0016055925350280664","39:88;52:88;54:88","39:0.0017968383700521229;52:0.007880597848436838;54:0.004130855606392897","0.012939453125","0.0068359375","Yes"
"54","319.0403326363636","437.313379660989","0.009765625","0.011474609375","0.008056640625","2584","0.0005775319911322052","32","0.0005775319911322052","0","0.0005775319911322052","0.0005775319911322052","53:0.0016055925350280664;55:0.0016588193196170886","53:88;55:88","53:0.004130855606392897;55:0.003583375141376438","0.009765625","0.039794921875","Yes"
