"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","MEASURE error","Operational"
"47","384.33811729417124","280.317348749455","0.031005859375","0.05322265625","0.0087890625","2400","0.00040224447977143125","32","0.00040224447977143125","0","0.00040224447977143125","0.00040224447977143125","48:0.028055689484956903;57:0.004978815246331897;46:0.0055165465796575;37:0.01027684030172421","48:128;57:168;46:208;37:148","0.031005859375","Yes"
"48","253.4227568752773","188.951865105356","0.205810546875","0.4091796875","0.00244140625","2400","0.0006168574263156981","32","0.0006168574263156981","0","0.0006168574263156981","0.0006168574263156981","47:0.028055689484956903;49:0.021220895168636844;38:0.11659254895868014;58:0.06091468194433508","47:128;49:128;38:188;58:248","0.205810546875","Yes"
"49","410.6467493694901","317.08950710468116","0.028076171875","0.044921875","0.01123046875","2400","0.0002886661544430829","32","0.0002886661544430829","0","0.0002886661544430829","0.0002886661544430829","48:0.021220895168636844;59:0.0011728849254764306;39:0.0014797782734115306","48:128;59:128;39:208","0.028076171875","Yes"
"50","212.85723443776305","94.14418226989295","0.01123046875","0.01953125","0.0029296875","2400","0.00036330717777643555","32","0.00036330717777643555","0","0.00036330717777643555","0.00036330717777643555","40:0.0017859634927750168;51:0.002692452681199109;60:0.005280439223332739","40:128;51:128;60:68","0.01123046875","Yes"
"51","261.8324029716086","155.54467401563275","0.107177734375","0.01171875","0.20263671875","2400","0.00023415565529109897","32","0.00023415565529109897","0","0.00023415565529109897","0.00023415565529109897","41:0.0025941649790750254;50:0.002692452681199109;52:0.0019878282245595624;61:0.0031523642269914998","41:128;50:128;52:128;61:128","0.107177734375","Yes"
"52","178.20189398034628","155.40583323623449","0.053466796875","0.05322265625","0.0537109375","2400","0.00021008567867904766","32","0.00021008567867904766","0","0.00021008567867904766","0.00021008567867904766","42:0.0028516776031632385;51:0.0019878282245595624;53:0.002481115912872034;62:0.0026668472870091664","42:128;51:128;53:128;62:128","0.053466796875","Yes"
"53","445.1870784753216","268.0150294385852","0.0234375","0.02783203125","0.01904296875","2400","0.00021237569825462144","32","0.00021237569825462144","0","0.00021237569825462144","0.00021237569825462144","52:0.002481115912872034;54:0.004293373509548254;63:0.003455322088900953;43:0.001841402320679475","52:128;54:148;63:228;43:128","0.0234375","Yes"
"54","156.74047836589293","121.22876436941496","0.016357421875","0.01904296875","0.013671875","2400","0.00048333078350285463","32","0.00048333078350285463","0","0.00048333078350285463","0.00048333078350285463","44:0.005091965195427178;53:0.004293373509548254;55:0.004828600129939714;64:0.002513211384785885","44:128;53:148;55:228;64:208","0.016357421875","Yes"
"55","402.2942434955073","254.3516269228498","0.01904296875","0.02880859375","0.00927734375","2400","0.0003233484091876627","32","0.0003233484091876627","0","0.0003233484091876627","0.0003233484091876627","56:0.002807704335781952;45:0.0020987502926744783;65:0.002270419889680908;54:0.004828600129939714","56:168;45:128;65:148;54:228","0.01904296875","Yes"
"56","469.2069536759327","285.1384731200171","0.03125","0.03955078125","0.02294921875","2400","0.00021963647652132663","32","0.00021963647652132663","0","0.00021963647652132663","0.00021963647652132663","55:0.002807704335781952;46:0.0037509035568143723;57:0.0035958151624086443;66:0.0018531993773038824","55:168;46:188;57:128;66:128","0.03125","Yes"
