"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"20","150.51458537345545","94.68233410887824","0.037109375","0.04052734375","0.03369140625","1560","0.00023955651538363956","32","0.00023955651538363956","0","0.00023955651538363956","0.00023955651538363956","19:0.003909825934545419;21:0.005725273644826584","19:108;21:68","19:0.0031543555938318424;21:0.004409883958582689","0.037109375","Yes"
"21","74.95003422392826","25.985783194860577","0.0771484375","0.0703125","0.083984375","1560","0.0006496654431171512","32","0.0006496654431171512","0","0.0006496654431171512","0.0006496654431171512","34:0.0026867620460697406;20:0.005725273644826584;22:0.0026762251328097397","34:68;20:68;22:68","34:0.0026671982839162056;20:0.004409883958582689","0.0771484375","Yes"
"22","46.55514437695177","58.460150581642566","0.031494140625","0.03076171875","0.0322265625","1560","0.00044324864634358676","32","0.00044324864634358676","0","0.00044324864634358676","0.00044324864634358676","23:0.011526876100841327;21:0.0026762251328097397","23:68;21:68","23:0.015365694797993629","0.031494140625","Yes"
"23","111.17320207896678","153.95671921444995","0.118408203125","0.07373046875","0.1630859375","1560","0.00491437887682136","32","0.00491437887682136","0","0.00491437887682136","0.00491437887682136","22:0.011526876100841327;24:0.010117111589954209;16:0.012159586462350519","22:68;24:68;16:184","22:0.015365694797993629;24:0.013913209188877673;16:0.021485583807794056","0.118408203125","Yes"
"24","133.90599535640337","150.70842055596967","0.035888671875","0.04150390625","0.0302734375","1560","0.00043792463086141206","32","0.00043792463086141206","0","0.00043792463086141206","0.00043792463086141206","23:0.010117111589954209;25:0.0015653622429484815","23:68;25:68","23:0.013913209188877673;25:0.0018369000764000831","0.035888671875","Yes"
"25","180.30116083154115","158.9707850816495","0.12353515625","0.1181640625","0.12890625","1560","","32","","0","","","24:0.0015653622429484815;35:0.002193526595139189","24:68;26:68;35:108","24:0.0018369000764000831;26:0.0013026278010925818;35:0.0018989311724340041","0.12353515625","Yes"
"26","270.1509852343157","199.71448437533164","0.0625","0.05859375","0.06640625","1560","0.00012369052720256877","32","0.00012369052720256877","0","0.00012369052720256877","0.00012369052720256877","27:0.0014725479710482048","25:68;27:68","25:0.0013026278010925818;27:0.0014413557401079524","0.0625","Yes"
"27","89.20995266109767","68.09230933598741","0.061279296875","0.05126953125","0.0712890625","1560","","32","","0","","","26:0.0014725479710482048;28:0.0015718352209910524;17:0.0028045669479543345","26:68;28:80;17:160","26:0.0014413557401079524;28:0.0020144956278723147;17:0.0030202169332032847","0.061279296875","Yes"
"28","98.10859723267487","106.89076599739275","0.015625","0.0126953125","0.0185546875","1560","0.00028837469328569674","32","0.00028837469328569674","0","0.00028837469328569674","0.00028837469328569674","27:0.0015718352209910524;29:0.0029965180232159327","27:80;29:116","27:0.0020144956278723147;29:0.0027858307520935432","0.015625","Yes"
"29","115.86176648145411","106.4732699398352","0.0576171875","0.06396484375","0.05126953125","1560","0.000514761488013567","32","0.000514761488013567","0","0.000514761488013567","0.000514761488013567","36:0.002525541338388587;28:0.0029965180232159327;30:0.002369415576671474","36:68;28:116;30:68","36:0.002838786569592383;28:0.0027858307520935432;30:0.002433126582298578","0.0576171875","Yes"
