"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"22","120.56136850638417","108.74948642337095","0.0084228515625","0.01416015625","0.002685546875","1560","0.00019441919699778433","24","0.00019441919699778433","0","0.00019441919699778433","0.00019441919699778433","23:68;21:68","23:0.0018423910250306985;21:0.0020531139560875933","23:0.0017595024277113347;21:0.0017704886356676164","0.0084228515625","Yes"
"23","262.77734592794417","240.4459624393846","0.007080078125","0.012939453125","0.001220703125","1560","0.00023551389511574896","24","0.00023551389511574896","0","0.00023551389511574896","0.00023551389511574896","22:68;24:68;16:68","22:0.0018423910250306985;24:0.004412626906923567;16:0.002748955322152219","22:0.0017595024277113347;24:0.003896748421251317;16:0.0025439309494594275","0.007080078125","Yes"
"24","189.32653377078063","184.63956100538388","0.016357421875","0.02099609375","0.01171875","1560","0.000931488329852699","24","0.000931488329852699","0","0.000931488329852699","0.000931488329852699","23:68;25:68","23:0.004412626906923567;25:0.021286118101085022","23:0.003896748421251317;25:0.018424051553624782","0.016357421875","Yes"
"25","139.867428210279","52.106665926639856","0.017822265625","0.024169921875","0.011474609375","1560","0.00012785415159691514","24","0.00012785415159691514","0","0.00012785415159691514","0.00012785415159691514","24:68;26:68;37:68","24:0.021286118101085022;26:0.001827735690305421;37:0.002682013601319505","24:0.018424051553624782;26:0.0020247340723457963;37:0.0015875492072073005","0.017822265625","Yes"
"26","133.6798643427139","89.90588988371141","0.015625","0.021240234375","0.010009765625","1560","0.0002612021763933374","24","0.0002612021763933374","0","0.0002612021763933374","0.0002612021763933374","25:68;27:68","25:0.001827735690305421;27:0.02748360681081119","25:0.0020247340723457963;27:0.02877878656295127","0.015625","Yes"
"27","111.22230648459897","125.92726214446255","0.015869140625","0.02783203125","0.007568359375","1560","0.003572294694767147","24","0.003572294694767147","0","0.003572294694767147","0.003572294694767147","26:68;28:68;17:68","26:0.02748360681081119;17:0.025960320299284967","26:0.02877878656295127;28:0.07733659603040594;17:0.03237054550913443","0.015869140625","Yes"
"28","172.55930997417272","178.27399844614897","0.00537109375","0.0087890625","0.001953125","1560","0.00023530465284473388","24","0.00023530465284473388","0","0.00023530465284473388","0.00023530465284473388","27:68;29:68","29:0.004083974382849159","27:0.07733659603040594;29:0.0034231856646816383","0.00537109375","Yes"
"29","162.5066955251042","44.01055355277522","0.011474609375","0.01416015625","0.0087890625","1560","0.00021971521772596662","24","0.00021971521772596662","0","0.00021971521772596662","0.00021971521772596662","38:68;28:68;30:68","38:0.0020075907870784337;28:0.004083974382849159;30:0.0023494728467706727","38:0.0023092273695781707;28:0.0034231856646816383;30:0.0020545128564757875","0.011474609375","Yes"
"30","148.7789961573359","127.04728409031124","0.0130615234375","0.0126953125","0.013427734375","1560","0.0006045992471125974","24","0.0006045992471125974","0","0.0006045992471125974","0.0006045992471125974","31:68;29:68","31:0.0036661720176937584;29:0.0023494728467706727","31:0.0033918014611851177;29:0.0020545128564757875","0.0130615234375","Yes"
"31","92.54849119731534","56.32390713968742","0.0789794921875","0.05859375","0.099365234375","1560","0.00048182254912563463","24","0.00048182254912563463","0","0.00048182254912563463","0.00048182254912563463","30:68;32:68;18:68","30:0.0036661720176937584;32:0.03936654405631074;18:0.004601543514835854","30:0.0033918014611851177;32:0.01022996229655021;18:0.00369312268991126","0.0789794921875","Yes"
